ADLER POSITION STATEMENTS - THIRD EXTRACTION (300 POSITIONS)
Extracted from: The Neurotic Constitution & The Pattern of Life
Format: adler | statement | topic

=== CLIMACTERIC AND AGING (10) ===

1. adler | The climacteric neurosis shows only a different phase of the neurosis caused by the masculine protest with hypostasized character traits already familiar | climacteric neurosis
2. adler | The climacteric of woman has its psychic effect irrespective of metabolic phenomena because of the heightening of the feeling of inferiority | female climacteric
3. adler | In aging neurotics the guiding principle "act as though you were still obliged to attain worth" intensifies avaricious and domineering impulses | aging psychology
4. adler | The so-called climacteric of the male is a fiction rather than biological reality with the abstraction "I am no longer a man I am a woman" | male climacteric
5. adler | Climacteric neurosis had already shown its face in former days especially when favorable circumstances lessened attacks through partial gratification of power craving | neurosis history
6. adler | The transformation of headache and occasional migraine into trifacial neuralgia exemplifies symptom intensification preceding climacteric neurosis | symptom progression
7. adler | Intensification of neurotic cautiousness into anxiety and through discounting of anticipated disaster into melancholy represents three steps of protection | protection stages
8. adler | The stronger the feeling of inferiority the more intensified the fiction becomes and the more closely it approaches dogma through increasing abstraction from reality | fiction intensification
9. adler | In climacteric phases all desire may be referred to sexual analogy not only by the patient but with little effort by the physician | sexual interpretation
10. adler | There is no therapeutic gain so long as one does not succeed in ridding the patient of his fiction which becomes possible when he becomes more certain of himself | therapeutic goal

=== OEDIPUS COMPLEX REINTERPRETATION (10) ===

11. adler | The Oedipus complex is of the nature of an especially arranged fiction utilized as a means of expression for the masculine protest against feeling of uncertainty and inferiority | oedipus interpretation
12. adler | The striving for the mother is dependent upon the neurotic craving for security and the desire to possess everything rather than literal sexual desire | mother attachment
13. adler | The patient's ardent attitude towards his mother reveals as the decisive point his feeling of uncertainty when she isolated herself from him during childhood | maternal rejection
14. adler | Children who feel they do not belong to their family develop from the fairy tales of Snow White and Cinderella their leading thoughts | family alienation
15. adler | The neurotic tests by means of severe seizures whether the voice of blood will speak with genuine neurotic insatiability | belonging tests
16. adler | In my different conception the Oedipus complex does not come very clearly to the surface but the sexual content serves as jargon or mode of speech | oedipus critique
17. adler | The dreamer often chooses pictures showing simultaneous coloring of feminine and masculine traits corresponding to infantile indefiniteness of sex cognition | dream hermaphroditism
18. adler | Psychic hermaphroditism eliminates the element of time during marked abstraction of the dream state so thoughts separated spatially or temporally become united | dream condensation
19. adler | The thought "I feel myself a woman and wish to be a man" represents the union of spatially or temporally separated contents in dreams | gender wish
20. adler | The seizure had for its purpose the direction of the mother's tenderness towards the patient which was quite successful with the father | symptom purpose

=== NEUROTIC EXTENSION OF LIMITS (10) ===

21. adler | The compensating guiding idea to possess everything may deviate from its straight course to stimulate accomplishments of a strangely neurotic criminal or creative kind | goal deviation
22. adler | Parsimony penury and asceticism of certain neurotics shows a detour upon which the patient permits himself to be driven as if avoiding danger only in this way | ascetic defense
23. adler | In melancholic states when poverty phantasies predominate the patient anticipates the feared state to avoid real danger and emphasizes his feeling of inferiority | melancholic anticipation
24. adler | The hypochondriac endeavors to realize a fiction emphasizing feeling of inferiority and utilizing disease for gaining partial results without bringing himself nearer to his goal | hypochondria purpose
25. adler | The neurosis remains productive to the extent it prevents degradation through maximation of ego-consciousness even when direct goals are unattainable | neurosis productivity
26. adler | Every improvement in condition is felt by the patient as compulsion and conquest and a relapse often follows from no other reason than that improvement preceded | improvement resistance
27. adler | The many ambivalent traits of neurotics and psychotic patients arranged according to a polar principle are constructed on the hermaphroditic splitting of the neurotic psyche | ambivalence structure
28. adler | The introduction of the patient into experiment heightens the masculine protest and disposition to attacks and the therapist must prevent this reaction | therapeutic caution
29. adler | Variability must often be preserved among psychic phenomena because it may also occur as an auxiliary line serving the fictitious final goal | symptom variability
30. adler | The neurotic self-valuation will exaggerate the judgment of weakness by strengthening suggestibility and support it with selected neuroses for gaining strengthened impetus | self-valuation

=== COQUETRY AND CONQUEST (10) ===

31. adler | Neurotic coquetry reveals the masculine protest first in compensating feeling of deficiency and second by refusal of a feminine role in sexual relations | coquetry dynamics
32. adler | The coquette's desire for domination makes use of purely sexual means to attach men representing an efflux of the gynecokratic instinct | female domination
33. adler | These gynecokratic instincts are constructed according to the picture of resemblance to men proving themselves dependent on a masculine ideal though using feminine means | feminine strategy
34. adler | In no case no matter how far the neurotic carries coquetry does it reach far enough to include subjection to the man | coquetry limits
35. adler | When the neurotic patient feels the situation to be too feminine contact kiss or expectation of sexual relations releases heightened tendency to gain reassurance | feminine anxiety
36. adler | Every neurotic possesses to some degree coquetry which originates from hypostasized idea of personal value founded upon original feeling of inferiority | universal coquetry
37. adler | Neurotics especially the species just described find it hard to separate themselves from persons or things because parting produces severe neurotic symptoms | separation difficulty
38. adler | The tendency to detract from the value of the man leads to actions which apparently have lost all meaning when fictions assert themselves | depreciation actions
39. adler | In psychotherapeutic treatment cases produce the appearance of being in love with the physician which corresponds to preparations for overcoming the obstacle | transference analysis
40. adler | The feeling of deficiency calling forth this peculiar form of masculine protest springs from femininity which they feel as inferiority | feminine inferiority

=== SYMPATHY AND NARCISSISM (10) ===

41. adler | Love is then free if the man is powerless enfeebled a cripple or aged revealing the tendency to see the man without weapons small or abased | conditional love
42. adler | In phantasies dreams and hallucinations the man is castrated changed into woman or corpse revealing the compulsion of the masculine guiding fiction | castration phantasies
43. adler | Necrophilia represents the highest expression of the tendency to see the man below without weapons defeated | necrophilia psychology
44. adler | The overestimation of the object of desire through narcissism is rather an a priori condition in the construction of the relation reflecting the exaggerated ego | narcissistic object choice
45. adler | The belief in personal magic is so strong that every resistance leads to new endeavors in neurotic relations | magical thinking
46. adler | The masculine coquettes are remarkable because they seek to carry through their triumph valued as masculine by feminine means | male coquetry
47. adler | Threats of desertion or separation are used to bring forth proof of influence over the person threatened | separation threats
48. adler | The strong disinclination for a distinctly feminine role can call forth a remarkable picture the appearance of double life or splitting of consciousness | consciousness splitting
49. adler | Analysis constantly furnishes greater proof for striving toward masculinity through dreams phantasies hallucinations and onset of psychosis | masculinity striving
50. adler | The tendency to become a man or wish to be so reveals itself in consciousness of masculinity in neurotic patients | gender aspiration

=== ABOVE-BENEATH ANTITHESIS (10) ===

51. adler | The abstraction of the concept above-beneath plays an extremely important role in civilization probably connected with beginning of upright carriage of human beings | spatial symbolism
52. adler | As every child repeats the process of arising from floor training teaches disgust for clinging to floor and creeping contributing to valuing up more highly | developmental symbolism
53. adler | Small children who throw themselves on floor angrily trying to make themselves dirty betray that the idea of being down as forbidden dirty sinful is developing | child protest
54. adler | Aboriginal races like the child regarded sun day joy elevation being up as resembling each other and associated being down with sin death dirt sickness night | primitive associations
55. adler | Falling is painful blamable dishonorable at times punishable and the child assumes these sensory traces as admonition so being down is felt as defeat | falling symbolism
