ADLER | King Solomon said in Ecclesiastes that there is nothing new under the sun. | Preface to the Timeless Wisdom Collection
ADLER | For thousands of years, life has been teaching us the same lessons over and over. | Preface to the Timeless Wisdom Collection
ADLER | The lessons are simple, as simple are the values in which they are based: Courage, Perseverance, Faith, Love, Truthfulness, Purpose, Decision, Good Stewardship, Kindness, Happiness… | Preface to the Timeless Wisdom Collection
ADLER | Thoughts are Things; things that have a tendency to transform into our reality. | Preface to the Timeless Wisdom Collection
ADLER | “As a man thinks so is his life” says the Bible. | Preface to the Timeless Wisdom Collection
ADLER | Fear, Hate and Worry attract more fear, more hate and more worry, in all its manifestations. | Preface to the Timeless Wisdom Collection
ADLER | However, positive thinking and a faithful attitude attracts positive things. | Preface to the Timeless Wisdom Collection
ADLER | Countless sages of the ages have tried to convey these messages and lessons in different ways and formulas. | Preface to the Timeless Wisdom Collection
ADLER | But we just keep ignoring them, and making the same mistakes… | Preface to the Timeless Wisdom Collection
ADLER | In this Timeless Wisdom Collection, we present you men and women whose lives were committed to enlighten the world with the wisdom of the ages. | Preface to the Timeless Wisdom Collection
ADLER | It was originally born as a tribute to the New Thought authors which started the self-development and positive thinking movement over a century ago, and were rediscovered and became extremely popular in the new millennium thanks to books like “The Secret”. | Preface to the Timeless Wisdom Collection
ADLER | Therefore, we searched for the greatest works and sages of the 20th Century, and included in the collection the work of leading psychologists as Emile Coué, Isador Coriat, Alfred Adler or Carl Jung; | Preface to the Timeless Wisdom Collection
ADLER | Then we remembered that, since the dawn of humanity, we have always loved story telling. | Preface to the Timeless Wisdom Collection
ADLER | With fables loaded with symbols and allegories, our ancestors passed Wisdom and Knowledge from generation to generation. | Preface to the Timeless Wisdom Collection
ADLER | and enjoy their triumphs and success as if they were ours; as if they were true. | Preface to the Timeless Wisdom Collection
ADLER | In thousands of masterpieces –some of them listed at the end of this book these writers brilliantly captured the essence of life and success in its different manifestations. | Preface to the Timeless Wisdom Collection
ADLER | Carefully selected, we are now placing in your hands the best collection in personal and mind-development in existence. | Preface to the Timeless Wisdom Collection
ADLER | These books are for enlightenment. They will provide the seeker –the one who is ready and is paying attention-, some of the deepest answers to life. | Preface to the Timeless Wisdom Collection
ADLER | The standpoint assumed by me ("Studie," I.e.) emphasizes more strongly than does that of other authors, the assurance of an adjustment through compensation. | Introduction to The Neurotic Constitution
ADLER | The evils of constitutional inferiority manifest themselves in the most varied diseases and predispositions to disease. | Introduction to The Neurotic Constitution
ADLER | These brief references give us an insight into the attempts of the present day scientific trends to emphasize and maintain the relation between psychic anomalies in childhood and constitutional inferiority. | Introduction to The Neurotic Constitution
ADLER | The child usually explains his difficulty by the assumption of a neglect, a slight by the parents, especially as it occurs in later children or in the youngest, occasionally even in the first born. | Introduction to The Neurotic Constitution
ADLER | The neurotic individual is derived from this sphere of uncertainty and in his childhood is under the pressure of his constitutional inferiority. | Introduction to The Neurotic Constitution
ADLER | Hence his method of thinking by analogy is more strongly and clearly developed. | Introduction to The Neurotic Constitution
ADLER | What I have described as polar, hermaphroditic opposites, Lombroso as bipolar, Bleuler as ambivalent, leads to this same method of apperception which works according to the principal of opposites. | Introduction to The Neurotic Constitution
ADLER | Consciousness of guilt also asserts itself. Here we find one of the most difficult points in the analysis of neuroses and psychoses. | Introduction to The Neurotic Constitution
ADLER | The greatest difficulty which stands in the way of an understanding of the neurosis arises from the striking protection afforded these inferior, effeminate traits and their acknowledgment by the patients. | Introduction to The Neurotic Constitution
ADLER | From this circumstance the fiction which serves as a final purpose acquires an astonishing influence and draws all the psychic forces in its direction. | Introduction to The Neurotic Constitution
ADLER | such patients frequently form their apperceptions in accordance with a scheme in which their genital organs are regarded as if they were effeminized, restricted, castrated, and as if they were therefore constantly forced to seek a substitute. | The Origin and Development of the Feeling of Inferiority
ADLER | One form of this substitution they find in the depreciation and emasculation of all other persons. | The Origin and Development of the Feeling of Inferiority
ADLER | Active homosexuality, also, as well as perversions which degrade the partner, also Lustmord, arise from the neurotic tendency to depreciate, a tendency which can hardly be pictured too strongly. | The Origin and Development of the Feeling of Inferiority
ADLER | I have always found as an internal connecting bond in these antithetical conditions the tendency to maximate the ego-consciousness, whereby the "inferior" situation is associated with a degradation, but is circumscribed and arranged as a ground for operation. | The Origin and Development of the Feeling of Inferiority
ADLER | For the " splitting of consciousness " the severely schematic and "very abstract process of apperception is also responsible, a form of apperception which groups the internal and external experiences according to a scheme which has the form of an absolute antithesis, something like the debits and credits in book-keeping, where there are no transitions possible. | The Origin and Development of the Feeling of Inferiority
ADLER | The impulse to this expedient arises from the longing for an orientation "and has its roots in the neurotic's craving for security. | The Origin and Development of the Feeling of Inferiority
ADLER | The whole development of the child shows that it proceeds in the direction of an idea, which naturally takes a primitive form and quite regularly seeks concrete embodiment in the form of a person. | The Origin and Development of the Feeling of Inferiority
ADLER | This answer, in reality the manner in which life is accepted, is according to all the knowledge thereof furnished by experience, to be considered as identical with the effort to put an end to uncertainty, to the chaos which prevails in impressions and feelings, with the effort to obtain a firm hold in order to overcome the difficulties of life. | The Origin and Development of the Feeling of Inferiority
ADLER | They are manifested at an early age, are indicated even in early infancy and are constantly at the foundation of the influences of conscious and unconscious education. | The Origin and Development of the Feeling of Inferiority
ADLER | Reflection, observation, thought and forethought, attention, calculation and valuation are all efforts put forth by this craving for security. | The Origin and Development of the Feeling of Inferiority
ADLER | At this point the living energies of the child become transferred into the self-created sphere of his subjective world which henceforth as a guiding fiction transmutes, falsifies and changes the values of all feelings and emotions, pleasures and pains, even the struggle for self-preservation, for his benefit, in order to attain the goal; | The Origin and Development of the Feeling of Inferiority
